cod_cnuc,mean,na_rows,total_days,pa_name_cnuc,en_wkname
0000.00.0052,0.7579310344827587,1,1451,ESTAÇÃO ECOLÓGICA DE CARIJÓS,Carijós Ecological Station
0000.00.0053,0.9328028293545535,0,1131,ESTAÇÃO ECOLÓGICA DE CUNIÃ,Cuniã Ecological Station
0000.00.0054,0.6616126809097175,0,1451,ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,Guaraqueçaba Ecological Station
0000.00.0055,0.6574776016540317,0,1451,ESTAÇÃO ECOLÓGICA DE IQUÊ,Iquê Ecological Station
0000.00.0056,0.7691247415575465,0,1451,ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES,Jutaí-Solimões Ecological Station
0000.00.0057,1.6802205375603032,0,1451,ESTAÇÃO ECOLÓGICA DE MARACÁ,Maracá Ecological Station
0000.00.0058,0.7484493452791179,0,1451,ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA,Maracá-Jipioca Ecological Station
0000.00.0059,0.8369905956112853,0,957,ESTAÇÃO ECOLÓGICA DE MURICI,Murici Ecological Station
0000.00.0060,0.5520330806340454,0,1451,ESTAÇÃO ECOLÓGICA DE NIQUIÁ,Niquiá Ecological Station
0000.00.0061,1.2818745692625775,0,1451,ESTAÇÃO ECOLÓGICA DE PIRAPITINGA,Pirapitinga Ecological Station
0000.00.0062,1.19710544452102,0,1451,ESTAÇÃO ECOLÓGICA DE TAIAMÃ,Taiamã Ecological Station
0000.00.0063,0.86,1,1451,ESTAÇÃO ECOLÓGICA DE TAMOIOS,Tamoios Ecological Station
0000.00.0064,0.646896551724138,1,1451,ESTAÇÃO ECOLÓGICA TUPINAMBÁS,Tupinambás Ecological Station
0000.00.0065,1.0964851826326671,0,1451,ESTAÇÃO ECOLÓGICA DE URUÇUÍ-UNA,Uruçui-Una Ecological Station
0000.00.0066,0.6442873969375736,1,850,ESTAÇÃO ECOLÓGICA DO CASTANHÃO,Castanhão Ecological Station
0000.00.0067,0.8262068965517242,1,1451,ESTAÇÃO ECOLÓGICA DO JARI,Jari Ecological Station
0000.00.0068,0.8173673328738801,0,1451,ESTAÇÃO ECOLÓGICA RIO ACRE,Rio Acre Ecological Station
0000.00.0069,0.5441379310344827,1,1451,ESTAÇÃO ECOLÓGICA DO SERIDÓ,Seridó Ecological Station
0000.00.0070,1.8587181254307374,0,1451,ESTAÇÃO ECOLÓGICA DO TAIM,Taim Ecological Station
0000.00.0071,0.7615437629221227,0,1451,ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,Tupiniquins Ecological Station
0000.00.0072,0.7289655172413793,1,1451,ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ,Juami-Japurá Ecological Station
0000.00.0073,0.7361256544502618,2,957,ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO,Mico Leão Preto Ecological Station
0000.00.0074,0.6075862068965517,1,1451,ESTAÇÃO ECOLÓGICA RASO DA CATARINA,Raso da Catarina Ecological Station
0000.00.0075,1.0144727773949,0,1451,ESTAÇÃO ECOLÓGICA DA SERRA DAS ARARAS,Serra das Araras Ecological Station
0000.00.0076,0.9302949061662198,0,1119,ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS,Serra Geral do Tocantins Ecological Station
0000.00.0082,0.9766606822262118,1,1115,FLORESTA NACIONAL DE AÇU,Açu National Forest
0000.00.0083,0.9937388193202147,0,1118,FLORESTA NACIONAL ALTAMIRA,Altamira National Forest
0000.00.0085,0.908273381294964,1,1113,FLORESTA NACIONAL DE BALATA-TUFARI,Balata-Tufari National Forest
0000.00.0088,3.693822739480752,0,1117,FLORESTA NACIONAL DE CARAJÁS,Carajás National Forest
0000.00.0089,1.786354238456237,0,1451,FLORESTA NACIONAL DE CAXIUANÃ,Caxiuanã National Forest
0000.00.0091,0.568041237113402,1,971,FLORESTA NACIONAL DE GOYTACAZES,Goytacazes National Forest
0000.00.0092,1.0773381294964028,1,1113,FLORESTA NACIONAL DE HUMAITÁ,Humaitá National Forest
0000.00.0095,0.6329453894359892,1,1118,FLORESTA NACIONAL DE ITAITUBA I,Itaituba I National Forest
0000.00.0096,0.5926589077887198,1,1118,FLORESTA NACIONAL DE ITAITUBA II,Itaituba II National Forest
0000.00.0097,0.7017699115044248,1,1131,FLORESTA NACIONAL DE JACUNDÁ,Jacundá National Forest
0000.00.0098,0.5943491422805247,1,992,FLORESTA NACIONAL DE LORENA,Lorena National Forest
0000.00.0099,0.7881508078994613,1,1115,FLORESTA NACIONAL DE MULATA,Mulata National Forest
0000.00.0100,0.507181328545781,0,1114,FLORESTA NACIONAL DE NÍSIA FLORESTA,Nísia Floresta National Forest
0000.00.0101,0.5211995863495347,0,967,FLORESTA NACIONAL DE PACOTUBA,Pacotuba National Forest
0000.00.0104,0.8580310880829015,0,965,FLORESTA NACIONAL DE PAU-ROSA,Pau-Rosa National Forest
0000.00.0105,0.5199645075421473,0,1127,FLORESTA NACIONAL DE RITÁPOLIS,Ritápolis National Forest
0000.00.0106,1.0842198581560283,0,1128,FLORESTA NACIONAL DE RORAIMA,Roraima National Forest
0000.00.0107,1.3994515539305301,1,1095,FLORESTA NACIONAL DE SANTA ROSA DO PURUS,Santa Rosa do Purus National Forest
0000.00.0108,0.5050228310502283,0,1095,FLORESTA NACIONAL DE SÃO FRANCISCO,São Francisco National Forest
0000.00.0109,1.2053811659192826,0,1115,FLORESTA NACIONAL DE SARACÁ-TAQUERA,Saracá-Taquera National Forest
0000.00.0112,1.3172484599589322,1,975,FLORESTA NACIONAL DE TEFÉ,Tefé National Forest
0000.00.0113,0.762962962962963,0,1080,FLORESTA NACIONAL DE AMAPÁ,Amapá National Forest
0000.00.0114,1.2919254658385093,0,1127,FLORESTA NACIONAL DO AMAZONAS,Amazonas National Forest
0000.00.0116,0.8672199170124482,0,964,FLORESTA NACIONAL DE BOM FUTURO,Bom Futuro National Forest
0000.00.0120,0.5255474452554745,1,1097,FLORESTA NACIONAL DE MACAUÃ,Macauã National Forest
0000.00.0121,0.8799212598425197,0,1016,FLORESTA NACIONAL DE PURUS,Purus National Forest
0000.00.0122,0.7060390763765542,0,1126,FLORESTA NACIONAL DE RIO PRETO,Rio Preto National Forest
0000.00.0123,1.7139903514817367,0,1451,FLORESTA NACIONAL DE TAPAJÓS,Tapajós National Forest
0000.00.0124,0.9587813620071685,1,1117,FLORESTA NACIONAL DE TAPIRAPÉ-AQUIRI,Tapirapé-Aquiri National Forest
0000.00.0126,0.48669950738916257,1,1016,FLORESTA NACIONAL DE MAPIÁ-INAUINÍ,Mapiá-Inauini National Forest
0000.00.0129,0.6542713567839196,0,995,FLORESTA NACIONAL DE PASSA QUATRO,Passa Quatro National Forest
0000.00.0132,0.7113276492082826,0,821,FLORESTA NACIONAL DA RESTINGA DE CABEDELO,Restinga de Cabedelo National Forest
0000.00.0133,0.6524761077324066,1,1152,FLORESTA NACIONAL DE SÃO FRANCISCO DE PAULA,São Francisco de Paula National Forest
0000.00.0134,0.3305978898007034,1,854,FLORESTA NACIONAL DE TRÊS BARRAS,Três Barras National Forest
0000.00.0135,3.8201240523776705,0,1451,PARQUE NACIONAL CAVERNAS DO PERUAÇU,Cavernas do Peruaçu National Park
0000.00.0136,11.84631288766368,0,1451,PARQUE NACIONAL DA AMAZÔNIA,Amazônia National Park
0000.00.0137,58.33838731909028,0,1451,PARQUE NACIONAL DA CHAPADA DIAMANTINA,Chapada Diamantina National Park
0000.00.0138,10.308752584424536,0,1451,PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES,Chapada dos Guimarães National Park
0000.00.0139,30.871123363197796,0,1451,PARQUE NACIONAL DA CHAPADA DOS VEADEIROS,Chapada dos Veadeiros National Park
0000.00.0140,2.7677463818056514,0,1451,PARQUE NACIONAL DA LAGOA DO PEIXE,Lagoa do Peixe National Park
0000.00.0141,3.282563749138525,0,1451,PARQUE NACIONAL RESTINGA DE JURUBATIBA,Jurubatiba Sandbank National Park
