cod_cnuc,mean,na_rows,total_days
0000.00.0168,6.012927756653992,0,1315
0000.00.0169,3.8243346007604564,0,1315
0000.00.0170,2.3163498098859314,0,1315
0000.00.0172,36.64562737642586,0,1315
0000.00.0173,13.404562737642586,0,1315
0000.00.0174,8.271325796505653,0,973
0000.00.0175,8.504942965779467,0,1315
0000.00.0176,2.053231939163498,0,1315
0000.00.0177,6.727756653992396,0,1315
0000.00.0178,1.8007604562737642,0,1315
0000.00.0179,1.5422053231939163,0,1315
0000.00.0180,264.51026615969585,0,1315
0000.00.0182,2.1300893743793448,0,1007
0000.00.0183,4.892015209125475,0,1315
0000.00.0184,10.817490494296578,0,1315
0000.00.0185,9.250190114068442,0,1315
0000.00.0186,2.597718631178707,0,1315
0000.00.0188,1.187832699619772,0,1315
0000.00.0189,1.7057034220532319,0,1315
0000.00.0190,2.765019011406844,0,1315
0000.00.0191,1.35893536121673,0,1315
0000.00.0192,0.6050761421319797,0,985
0000.00.0193,0.6075949367088608,1,712
0000.00.0194,1.5269961977186313,0,1315
0000.00.0195,0.7376425855513308,0,1315
0000.00.0196,0.636986301369863,1,1315
0000.00.0197,1.1575342465753424,1,1315
0000.00.0198,0.7975646879756468,1,1315
0000.00.0199,0.7422053231939163,0,1315
0000.00.0200,0.8424657534246576,1,1315
0000.00.0201,1.0349809885931558,0,1315
0000.00.0202,1.3414448669201522,0,1315
0000.00.0203,2.4433460076045628,0,1315
0000.00.0204,0.664638783269962,0,1315
0000.00.0205,0.7163498098859316,0,1315
0000.00.0207,1.1666666666666667,1,1315
0000.00.0208,0.8927756653992396,0,1315
0000.00.0209,0.8159695817490494,0,1315
0000.00.0210,0.9474885844748858,1,1315
0000.00.0211,0.6699619771863118,0,1315
0000.00.0212,2.0638783269961976,0,1315
0000.00.0213,1.69558599695586,1,1315
0000.00.0214,0.7384030418250951,0,1315
0000.00.0215,4.583269961977186,0,1315
0000.00.0216,1.0874872838250254,1,984
0000.00.0217,1.440320962888666,0,997
0000.00.0220,0.6255980861244019,1,837
0000.00.0223,0.3417142857142857,1,876
0000.00.0225,0.3405714285714286,0,875
0000.00.0227,1.4226125137211856,0,911
0000.00.0228,0.35193621867881547,0,878
0000.00.0230,1.6095808383233532,1,836
0000.00.0231,0.45485714285714285,0,875
0000.00.0232,6.16926272066459,1,964
0000.00.0233,0.5016949152542373,0,885
0000.00.0234,0.5420023014959724,0,869
0000.00.0235,1.1970954356846473,0,964
0000.00.0239,0.4647550776583035,0,837
0000.00.0240,0.9234234234234234,0,888
0000.00.0242,0.4161979752530934,1,890
0000.00.0243,0.7594070695553021,0,877
0000.00.0244,1.5890410958904109,1,950
0000.00.0245,0.52,1,926
0000.00.0246,1.3611428571428572,1,876
0000.00.0247,1.3725714285714286,1,876
0000.00.0248,0.9018264840182648,0,876
0000.00.0249,1.536,1,876
0000.00.0250,0.4112820512820513,1,976
0000.00.0251,2.163615560640732,1,875
0000.00.0252,1.013360739979445,1,974
0000.00.0253,0.5068807339449541,2,874
0000.00.0254,0.601472134595163,0,951
0000.00.0255,1.3452868852459017,0,976
0000.00.0256,1.465648854961832,2,919
0000.00.0257,0.7943632567849687,0,958
0000.00.0259,0.7074285714285714,0,875
0000.00.0260,1.9526748971193415,2,974
0000.00.0261,1.6376344086021506,2,932
0000.00.0262,1.7825095057034221,0,1315
0000.00.0263,0.8053927315357562,0,853
0000.00.0264,1.5416666666666667,0,984
0000.00.0265,1.7719475277497476,1,992
0000.00.0266,1.1753312945973498,0,981
0000.00.0267,1.7379032258064515,0,992
0000.00.0268,0.6961325966850829,0,724
0000.00.0270,0.7614424410540915,0,721
0000.00.0271,1.731358529111338,2,981
0000.00.0272,5.497338403041825,0,1315
0000.00.0274,0.8957189901207464,0,911
0000.00.0275,0.6717440974866717,2,1315
0000.00.0276,0.44227005870841485,0,1022
0000.00.0277,3.1688212927756654,0,1315
0000.00.0281,1.5671641791044777,1,939
0000.00.0282,1.516842105263158,1,951
0000.00.0283,0.7036613272311213,0,874
0000.00.0284,2.660184237461617,0,977
0000.00.0285,1.64123006833713,1,879
