codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0161,Ilha Grande National Park,2015-07-01,2019-06-20,2006-02-21
0000.00.0162,Jericoacoara National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0163,Pacaás Novos National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0164,Saint-Hilaire/Lange National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0165,São Joaquim National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0166,Sete Cidades National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0167,Ubajara National Park,2015-07-01,2019-06-20,2007-03-12
0000.00.0168,Araguaia National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0169,Cabo Orange National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0170,Catimbau National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0171,Descobrimento National Park,2015-07-01,2019-06-20,2016-06-08
0000.00.0172,Iguaçu National Park,2015-07-01,2019-06-20,2004-11-27
0000.00.0173,Jaú National Park,2015-07-01,2019-06-20,2003-11-14
0000.00.0174,Monte Roraima National Park,2015-07-01,2019-06-20,2016-06-07
0000.00.0175,Pantanal Matogrossense National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0176,Pau Brasil National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0177,Pico da Neblina National Park,2015-07-01,2019-06-20,2005-11-21
0000.00.0178,Superagüi National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0179,Viruá National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0180,Lençóis Maranhenses National Park,2015-07-01,2019-06-20,2006-02-21
0000.00.0181,Pontões Capixabas Natural Monument,2015-07-01,2019-06-20,2008-03-21
0000.00.0182,Monte Pascoal National Park,2015-07-01,2019-06-20,2016-05-04
0000.00.0183,Grande Sertão Veredas National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0184,Itatiaia National Park,2015-07-01,2019-06-20,2004-05-11
0000.00.0185,Abrolhos Marine National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0186,Fernando de Noronha Marine National Park,2015-07-01,2019-06-20,2006-06-01
0000.00.0187,Tumucumaque Mountains National Park,2015-07-01,2019-06-20,2002-08-24
0000.00.0188,Serra da Cutia National Park,2015-07-01,2019-06-20,2008-03-21
