cod_cnuc,mean,na_rows,total_days,pa_name_cnuc,pt_wkname
0000.12.0940,0.3917241379310345,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL IGARAPÉ SÃO FRANCISCO,Área de Proteção Ambiental Igarapé São Francisco
0000.12.0941,0.41379310344827586,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL LAGO DO AMAPÁ,Área de Proteção Ambiental Lago do Amapá
0000.13.1006,0.7057201929703653,0,1451,PARQUE ESTADUAL RIO NEGRO SETOR SUL,Parque Estadual Rio Negro Setor Sul
0000.15.1021,7.780840799448656,0,1451,PARQUE ESTADUAL DA SERRA DOS MARTÍRIOS/ANDORINHAS,Serra das Andorinhas
0000.15.1023,18.766368022053754,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ,Arquipélago do Marajó
0000.15.1027,5.212956581667815,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DA ILHA DO COMBU,Área de Proteção Ambiental da Ilha do Combu
0000.15.1881,0.3947550034506556,2,1451,REFúGIO DE VIDA SILVESTRE METRóPOLE DA AMAZôNIA,Refúgio de Vida Silvestre Metrópole da Amazônia
0000.15.3478,0.41839762611275966,1,338,REFúGIO DE VIDA SILVESTRE TABULEIRO DO EMBAUBAL,Refúgio de Vida Silvestre Tabuleiro do Embaubal
0000.15.3479,0.17507418397626112,1,338,REFúGIO DE VIDA SILVESTRE PADRE SéRGIO TONETTO,Refúgio de Vida Silvestre Padre Sérgio Tonetto
0000.15.3480,0.13095238095238096,2,338,RESERVA DE DESENVOLVIMENTO SUSTENTáVEL VITóRIA DE SOUZEL,Reserva de Desenvolvimento Sustentável Vitória de Souzel
0000.15.3481,0.16964285714285715,2,338,RESERVA DE DESENVOLVIMENTO SUSTENTáVEL CAMPO DAS MANGABAS,Reserva de Desenvolvimento Sustentável Campo das Mangabas
0000.17.1489,1.9355531686358753,0,931,MONUMENTO NATURAL DAS ÁRVORES FOSSILIZADAS,Monumento Natural das Árvores Fossilizadas do Tocantins
0000.21.1885,2.4810475534114405,0,1451,ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES,Área de Proteção Ambiental das Reentrâncias Maranhenses
0000.21.1889,0.7058823529411765,0,391,ÁREA DE PROTEçãO AMBIENTAL DA FOZ DO RIO DAS PREGUIçAS - PEQUENOS LENçóIS - REGIãO LAGUNAR ADJACENTE,Área de Proteção Ambiental da Foz do Rio das Preguiças-Pequenos Lençóis-Região Lagunar Adjacente
0000.21.1890,3.489847715736041,0,394,ÁREA DE PROTEçãO AMBIENTAL DO ITAPIRACó,Área de Proteção Ambiental do Itapiracó
0000.21.1892,1.6240409207161126,0,391,ÁREA DE PROTEçãO AMBIENTAL DOS MORROS GARAPENSES,APA dos Morros Garapenses
0000.21.1893,1.5115089514066495,0,391,ÁREA DE PROTEçãO AMBIENTAL DA REGIãO DO MARACANã,Área de Proteção Ambiental da Região do Maracanã
0000.23.0946,1.5919661733615222,0,1419,ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ,Área de Proteção Ambiental da Serra de Baturité
0000.23.0951,0.6933149552033081,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DO ESTUÁRIO DO RIO CEARÁ,Área de Proteção Ambiental do Estuário do Rio Ceará
0000.23.0959,0.4293590627153687,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PACOTI,Área de Proteção Ambiental do Rio Pacoti
0000.23.1932,0.5993103448275862,1,1451,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO SÍTIO CURIÓ,Área de Relevante Interesse Ecológico do Sítio Curió
0000.24.1468,1.8215024121295658,0,1451,RESERVA DE DESENVOLVIMENTO SUSTENTáVEL ESTADUAL PONTA DO TUBARãO,Reserva de Desenvolvimento Sustentável Estadual Ponta do Tubarão
0000.24.1473,0.5186206896551724,1,1451,PARQUE ESTADUAL MATA DA PIPA,Parque Estadual Mata da Pipa
0000.25.0485,1.2942798070296346,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DAS ONÇAS,Área de Proteção Ambiental das Onças
0000.25.0488,1.016540317022743,0,1451,PARQUE ESTADUAL MATA DO XEM-XÉM,Unidade de Conservação Estadual da Mata do Xem-Xem
0000.25.0490,1.573793103448276,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL DE TAMBABA,Área de Proteção Ambiental de Tambaba
0000.25.0901,3.476223294279807,0,1451,PARQUE ESTADUAL MATA DO PAU FERRO,Parque Estadual Mata do Pau-Ferro
0000.25.2330,0.7625948930296756,2,1451,ÁREA DE RELEVANTE INTERESSE ECOLóGICO DE GOIAMUNDUBA,Unidade de Conservação Estadual Mata de Goiamunduba
0000.25.2333,1.0096551724137932,1,1451,PARQUE ESTADUAL DO ARATU,Parque Estadual Mata do Aratu
0000.26.3330,1.560303239145417,0,1451,REFúGIO DA VIDA SILVESTRE MATA DO ENGENHO UCHôA,Mata do Engenho Uchôa
0000.29.0315,2.4755341144038594,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS E DUNAS DO ABAETÉ,Área de Proteção Ambiental das Lagoas e Dunas do Abaeté
0000.29.0320,1.7966919365954515,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS,Área de Proteção Ambiental da Baía de Todos-os-Santos
0000.29.0321,2.203448275862069,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU,Área de Proteção Ambiental Bacia do Cobre - São Bartolomeu
0000.31.0385,10.192281185389387,0,1451,PARQUE ESTADUAL SERRA DO BRIGADEIRO,Parque Estadual Serra do Brigadeiro
0000.31.0403,2.4279807029634735,0,1451,PARQUE ESTADUAL SETE SALÕES,Parque Estadual de Sete Salões
0000.31.0405,0.8117241379310345,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL ÁGUAS VERTENTES,Área de Proteção Ambiental Estadual das Águas Vertentes
0000.31.0409,0.8908794788273615,1,1229,PARQUE ESTADUAL RIO CORRENTE,Parque Estadual do Rio Corrente
0000.31.0410,1.6396103896103895,0,1232,PARQUE ESTADUAL SERRA DA CANDONGA,Parque Estadual Serra da Candonga
0000.31.0413,6.553411440385941,0,1451,PARQUE ESTADUAL DO ITACOLOMI,Parque Estadual do Itacolomi
