cod_cnuc,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat,esfera
0000.00.0189,1.7401791867677463,0,1451,2.8490696071674706,0,1451,Parque,Federal
0000.00.0190,2.7732598208132324,0,1451,2.9682977257064094,0,1451,Refúgio de Vida Silvestre,Federal
0000.00.0191,1.3900758097863541,0,1451,3.2198483804272917,0,1451,Reserva Biológica,Federal
0000.00.0192,0.6017857142857143,1,1121,1.0699919549477073,1,1244,Reserva Biológica,Federal
0000.00.0193,0.6226415094339622,0,848,1.813921433494142,0,1451,Reserva Biológica,Federal
0000.00.0194,1.5286009648518264,0,1451,0.8613782051282052,0,1248,Reserva Biológica,Federal
0000.00.0195,0.7386206896551725,1,1451,2.7524137931034485,1,1451,Reserva Biológica,Federal
0000.00.0196,0.6303448275862069,1,1451,1.8455172413793104,1,1451,Reserva Biológica,Federal
0000.00.0197,1.1379310344827587,1,1451,3.0176282051282053,0,1248,Reserva Biológica,Federal
0000.00.0198,0.7910344827586206,1,1451,1.8364073777064955,0,1247,Reserva Biológica,Federal
0000.00.0199,0.7374224672639559,0,1451,1.798549556809025,0,1241,Reserva Biológica,Federal
0000.00.0200,0.844934527911785,0,1451,3.45448275862069,1,1451,Reserva Biológica,Federal
0000.00.0201,1.5975189524465885,0,1451,2.4038594073053066,0,1451,Reserva Biológica,Federal
0000.00.0202,1.3501033769813922,0,1451,3.12749827705031,0,1451,Reserva Biológica,Federal
0000.00.0204,0.6719503790489317,0,1451,1.1117241379310345,1,1451,Reserva Biológica,Federal
0000.00.0205,0.7146795313576844,0,1451,0.8041379310344827,1,1451,Reserva Biológica,Federal
0000.00.0206,1.1124137931034483,1,1451,1.0136655948553055,1,1245,Reserva Biológica,Federal
0000.00.0207,1.1957270847691248,0,1451,2.6358520900321545,0,1244,Reserva Biológica,Federal
0000.00.0208,0.8911095796002757,0,1451,1.2308752584424534,0,1451,Reserva Biológica,Federal
0000.00.0209,0.8110344827586207,1,1451,0.9538249483115093,0,1451,Reserva Biológica,Federal
0000.00.0210,0.9441764300482426,0,1451,0.9290322580645162,2,1242,Reserva Biológica,Federal
0000.00.0211,0.7126119917298415,0,1451,1.0585802894555478,0,1451,Reserva Biológica,Federal
0000.00.0212,2.188146106133701,0,1451,14.706409372846313,0,1451,Reserva Biológica,Federal
0000.00.0213,1.724328049620951,0,1451,1.2085004009623095,0,1247,Reserva Biológica,Federal
0000.00.0214,0.7732598208132323,0,1451,4.17448275862069,1,1451,Reserva Biológica,Federal
0000.00.0215,4.661612680909718,0,1451,7.998621640248105,0,1451,Reserva Biológica,Federal
0000.00.0216,1.0928571428571427,0,1120,0.7699115044247787,1,1244,Reserva Biológica,Federal
0000.00.0217,1.500441306266549,0,1133,3.2742935906271535,0,1451,Reserva Biológica,Federal
0000.00.0220,0.6193415637860082,1,973,0.5668965517241379,1,1451,Reserva Extrativista,Federal
0000.00.0222,2.9424460431654675,0,1112,4.535492763611303,0,1451,Reserva Extrativista,Federal
0000.00.0223,0.3359683794466403,0,1012,0.416551724137931,1,1451,Reserva Extrativista,Federal
0000.00.0225,0.3435643564356436,1,1011,0.7808407994486561,0,1451,Reserva Extrativista,Federal
0000.00.0227,1.3829990448901623,0,1047,0.4979310344827586,1,1451,Reserva Extrativista,Federal
0000.00.0228,0.34516765285996054,0,1014,0.26620689655172414,1,1451,Reserva Extrativista,Federal
0000.00.0230,0.6244855967078189,0,972,0.4517241379310345,1,1451,Reserva Extrativista,Federal
0000.00.0231,0.47128712871287126,1,1011,1.647829083390765,0,1451,Reserva Extrativista,Federal
0000.00.0232,5.502727272727273,0,1100,1.193103448275862,1,1451,Reserva Extrativista,Federal
0000.00.0233,0.5475024485798237,0,1021,1.2212267401791868,0,1451,Reserva Extrativista,Federal
0000.00.0234,0.5333333333333333,0,1005,1.1586206896551725,1,1451,Reserva Extrativista,Federal
0000.00.0235,1.1819836214740673,1,1100,0.5809786354238456,0,1451,Reserva Extrativista,Federal
0000.00.0238,0.5500495540138751,0,1009,1.0723638869745002,0,1451,Reserva Extrativista,Federal
0000.00.0239,0.45940390544707094,0,973,0.39352170916609236,0,1451,Reserva Extrativista,Federal
0000.00.0240,0.94921875,0,1024,0.9848275862068966,1,1451,Reserva Extrativista,Federal
0000.00.0242,0.4208984375,2,1026,0.47622329427980703,0,1451,Reserva Extrativista,Federal
0000.00.0243,0.7341897233201581,1,1013,0.5917241379310345,1,1451,Reserva Extrativista,Federal
0000.00.0244,0.631336405529954,1,1086,1.273793103448276,1,1451,Reserva Extrativista,Federal
0000.00.0245,0.5461393596986818,0,1062,1.0799448656099242,0,1451,Reserva Extrativista,Federal
0000.00.0246,0.34520276953511375,1,1012,0.6158620689655172,1,1451,Reserva Extrativista,Federal
0000.00.0247,0.3435643564356436,2,1012,0.33655172413793105,1,1451,Reserva Extrativista,Federal
0000.00.0248,0.8733926805143423,1,1012,0.7512060647829083,0,1451,Reserva Extrativista,Federal
0000.00.0249,0.533135509396637,1,1012,0.3689655172413793,1,1451,Reserva Extrativista,Federal
0000.00.0250,0.4095409540954095,1,1112,0.3232253618194349,0,1451,Reserva Extrativista,Federal
0000.00.0251,2.0712166172106823,0,1011,1.9248275862068966,1,1451,Reserva Extrativista,Federal
0000.00.0252,1.0207207207207207,0,1110,1.459682977257064,0,1451,Reserva Extrativista,Federal
0000.00.0253,0.5064420218037661,1,1010,0.8434482758620689,1,1451,Reserva Extrativista,Federal
0000.00.0254,0.6191352345906164,0,1087,0.7675862068965518,1,1451,Reserva Extrativista,Federal
0000.00.0255,1.3048561151079137,0,1112,3.4383184011026877,0,1451,Reserva Extrativista,Federal
0000.00.0256,0.4696394686907021,1,1055,0.7937931034482759,1,1451,Reserva Extrativista,Federal
