codCnuc,nomeUC,duplicate,cat,esfera,idEnWikiData,enNameWiki,enWikiPage,idPtWikiData,ptNameWiki,ptWikiPage,lastVerification
0000.00.1180,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO CORISCO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1181,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL IGUAÇU I,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1182,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PRIMAVERA I,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1183,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS ARAUCÁRIAS,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1184,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA FIGUEIRA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1186,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALEGRETE,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1187,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO MONTE ARARAT,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1188,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL URÚ,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1189,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO BANANAL,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1191,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOQUEIRÃO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1192,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DA SERRA NEGRA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1193,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA DE TAPUÃ,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1194,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARVÃO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1195,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CENTRO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1196,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOQUEIRÃO DOS FRADES,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1197,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANTIDIANO VALGUEIRO DE CARVALHO BARROS,,Reserva Particular do Patrimônio Natural,Federal,Q28220714,Cantidiano Valqueiro Barros Private Natural Heritage Reserve,https://en.wikipedia.org/wiki/Cantidiano_Valqueiro_Barros_Private_Natural_Heritage_Reserve,,,,18011
0000.00.1198,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA CABANOS,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
