codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0186,Fernando de Noronha Marine National Park,2015-07-01,2019-02-04,2006-06-01
0000.00.0188,Serra da Cutia National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0189,Serra da Mocidade National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0190,Ilha dos Lobos,2015-07-01,2019-02-04,2006-06-20
0000.00.0191,Augusto Ruschi Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0192,Contagem Biological Reserve,2015-07-01,2019-02-04,2016-05-26
0000.00.0193,Mata Escura Biological Reserve,2015-07-01,2019-02-04,2017-02-23
0000.00.0194,Abufari Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0195,Comboios Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0196,Guaribas Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0197,Pedra Talhada Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0198,Saltinho Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0199,Santa Isabel Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0200,Serra Negra Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0201,Sooretama Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0202,Una Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0203,Atol das Rocas Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0204,Córrego do Veado Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0205,Córrego Grande Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0207,Gurupi Biological Reserve,2015-07-01,2019-02-04,2010-02-26
0000.00.0208,Jaru Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0209,Lago Piratuba Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0210,Rio Trombetas Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0211,Tapirapé Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0212,Tinguá Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0213,Uatumã Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0214,Arvoredo Marine Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0215,Poço das Antas Biological Reserve,2015-07-01,2019-02-04,2008-03-21
0000.00.0216,Nascentes da Serra do Cachimbo Biological Reserve,2015-07-01,2019-02-04,2016-05-27
0000.00.0217,União Biological Reserve,2015-07-01,2019-02-04,2016-05-14
0000.00.0220,Auatí-Paraná Extractive Reserve,2015-07-01,2019-02-04,2016-10-21
0000.00.0223,Chocoaré - Mato Grosso Extractive Reserve,2015-07-01,2019-02-04,2016-09-12
0000.00.0225,Delta do Parnaíba Marine Extractive Reserve,2015-07-01,2019-02-04,2016-09-13
0000.00.0227,Maracanã Marine Extractive Reserve,2015-07-01,2019-02-04,2016-08-08
0000.00.0228,São João da Ponta Extractive Reserve,2015-07-01,2019-02-04,2016-09-10
0000.00.0230,Baixo Juruá Extractive Reserve,2015-07-01,2019-02-04,2016-10-22
0000.00.0231,Batoque Extractive Reserve,2015-07-01,2019-02-04,2016-09-13
0000.00.0232,Cazumbá-Iracema Extractive Reserve,2015-07-01,2019-02-04,2016-06-16
0000.00.0233,Lago do Cuniã Extractive Reserve,2015-07-01,2019-02-04,2016-09-03
0000.00.0234,Mandira Extractive Reserve,2015-07-01,2019-02-04,2016-09-19
0000.00.0235,Médio Juruá Extractive Reserve,2015-07-01,2019-02-04,2016-06-16
0000.00.0239,Rio Jutaí Extractive Reserve,2015-07-01,2019-02-04,2016-10-21
0000.00.0240,Extremo Norte do Tocantins Extractive Reserve,2015-07-01,2019-02-04,2016-08-31
0000.00.0242,Lago do Capanã Grande Extractive Reserve,2015-07-01,2019-02-04,2016-08-29
0000.00.0243,Mãe Grande de Curuçá Extractive Reserve,2015-07-01,2019-02-04,2016-09-11
0000.00.0244,Mapuá Extractive Reserve,2015-07-01,2019-02-04,2016-06-30
0000.00.0245,Baía do Iguape Marine Extractive Reserve,2015-07-01,2019-02-04,2016-07-24
0000.00.0246,Lagoa do Jequiá Marine Extractive Reserve,2015-07-01,2019-02-04,2016-09-12
0000.00.0247,Araí-Peroba Marine Extractive Reserve,2015-07-01,2019-02-04,2016-09-12
0000.00.0248,Caeté-Taperaçu Marine Extractive Reserve,2015-07-01,2019-02-04,2016-09-12
0000.00.0249,Gurupi-Piriá Marine Extractive Reserve,2015-07-01,2019-02-04,2016-09-12
0000.00.0250,Tracuateua Marine Extractive Reserve,2015-07-01,2019-02-04,2016-06-04
0000.00.0251,Arraial do Cabo Marine Extractive Reserve,2015-07-01,2019-02-04,2016-09-13
0000.00.0252,Corumbau Marine Extractive Reserve,2015-07-01,2019-02-04,2016-06-06
0000.00.0253,Canavieiras Extractive Reserve,2015-07-01,2019-02-04,2016-09-14
0000.00.0254,Soure Marine Extractive Reserve,2015-07-01,2019-02-04,2016-06-29
0000.00.0255,Pirajubaé Marine Extractive Reserve,2015-07-01,2019-02-04,2016-06-04
0000.00.0256,Rio Ouro Preto Extractive Reserve,2015-07-01,2019-02-04,2016-07-31
0000.00.0257,Alto Juruá Extractive Reserve,2015-07-01,2019-02-04,2016-06-22
0000.00.0259,Tapajós-Arapiuns Extractive Reserve,2015-07-01,2019-02-04,2016-09-13
0000.00.0260,Verde para Sempre Extractive Reserve,2015-07-01,2019-02-04,2016-06-06
0000.00.0261,Mata Preta Ecological Station,2015-07-01,2019-02-04,2016-07-18
0000.00.0262,Araucárias National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0263,Guanabara Ecological Station,2015-07-01,2019-02-04,2016-10-05
0000.00.0264,Rio Novo National Park,2015-07-01,2019-02-04,2016-05-27
0000.00.0265,Trairão National Forest,2015-07-01,2019-02-04,2016-05-19
0000.00.0266,Jamanxim National Forest,2015-07-01,2019-02-04,2016-05-30
0000.00.0267,Jamanxim National Park,2015-07-01,2019-02-04,2016-05-19
0000.00.0268,Tapajós Environmental Protection Area,2015-07-01,2019-02-04,2017-02-11
0000.00.0270,Crepori National Forest,2015-07-01,2019-02-04,2017-02-14
0000.00.0271,Amaná National Forest,2015-07-01,2019-02-04,2016-05-30
0000.00.0272,Chapada das Mesas National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0274,Alto Tarauacá Extractive Reserve,2015-07-01,2019-02-04,2016-08-08
0000.00.0275,Perobas Biological Reserve,2015-07-01,2019-02-04,2010-02-27
0000.00.0276,Araucárias Biological Reserve,2015-07-01,2019-02-04,2016-04-19
0000.00.0277,Campos Gerais National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0281,Igarapés do Juruena State Park,2015-07-01,2019-02-04,2016-07-11
0000.00.0282,Terra Grande-Pracuúba Extractive Reserve,2015-07-01,2019-02-04,2016-06-29
0000.00.0283,Rio Unini Extractive Reserve,2015-07-01,2019-02-04,2016-09-14
0000.00.0284,Campos Amazônicos National Park,2015-07-01,2019-02-04,2016-06-03
0000.00.0285,Arapixi Extractive Reserve,2015-07-01,2019-02-04,2016-09-09
0000.00.1517,Alto Juruá Extractive Reserve,2015-07-01,2019-02-04,2016-06-22
0000.00.1521,Mananciais do Rio Paraíba do Sul Environmental Protection Area,2015-07-01,2019-02-04,2016-10-02
0000.00.1563,Acaú-Goiana Extractive Reserve,2015-07-01,2019-02-04,2016-06-06
0000.00.1564,Chapada Limpa Extractive Reserve,2015-07-01,2019-02-04,2016-08-31
0000.00.1606,Médio Purus Extractive Reserve,2015-07-01,2019-02-04,2016-09-03
0000.00.1612,Iquiri National Forest,2015-07-01,2019-02-04,2016-06-02
0000.00.1626,Nascentes do Lago Jari National Park,2015-07-01,2019-02-04,2016-06-02
0000.00.1628,Ituxi Extractive Reserve,2015-07-01,2019-02-04,2016-08-30
0000.00.1633,Mapinguari National Park,2015-07-01,2019-02-04,2016-06-03
0000.00.1808,Cassurubá Extractive Reserve,2015-07-01,2019-02-04,2016-06-23
0000.00.1809,Prainha do Canto Verde Extractive Reserve,2015-07-01,2019-02-04,2016-09-10
0000.00.1812,Rio São Francisco Natural Monument,2015-07-01,2019-02-04,2016-05-21
0000.00.1813,Rio dos Frades Wildlife Refuge,2015-07-01,2019-02-04,2016-10-23
0000.00.1880,Una Wildlife Refuge,2015-07-01,2019-02-04,2016-10-23
0000.00.1907,Boa Nova Wildlife Refuge,2015-07-01,2019-02-04,2016-10-23
0000.00.1908,Boa Nova National Park,2015-07-01,2019-02-04,2016-06-10
0000.00.1909,Serra das Lontras National Park,2015-07-01,2019-02-04,2016-06-09
0000.00.1910,Alto Cariri National Park,2015-07-01,2019-02-04,2016-06-10
0000.00.1911,Santa Cruz Wildlife Refuge,2015-07-01,2019-02-04,2016-10-23
0000.00.1912,Costa das Algas Environmental Protection Area,2015-07-01,2019-02-04,2016-10-28
0000.00.2633,Furna Feia National Park,2015-07-01,2019-02-04,2012-06-06
0000.00.2634,Bom Jesus Biological Reserve,2015-07-01,2019-02-04,2016-06-06
0000.00.2874,Ilhas dos Currais Marine National Park,2015-07-01,2019-02-04,2016-06-22
0000.00.3131,Alto Maués Ecological Station,2015-07-01,2019-02-04,2016-05-22
0000.00.3132,Mocapajuba Marine Extractive Reserve,2015-07-01,2019-02-04,2016-09-10
0000.00.3133,Mestre Lucindo Marine Extractive Reserve,2015-07-01,2019-02-04,2016-09-11
0000.00.3134,Cuinarana Marine Extractive Reserve,2015-07-01,2019-02-04,2016-09-11
0000.00.3135,Nascentes Geraizeiras Sustainable Development Reserve,2015-07-01,2019-02-04,2016-06-16
0000.00.3136,Serra do Gandarela National Park,2015-07-01,2019-02-04,2016-06-12
0000.00.3137,Guaricana National Park,2015-07-01,2019-02-04,2016-06-16
0000.00.3407,Campos de Manicoré Environmental Protection Area,2015-07-01,2019-02-04,2016-06-13
0000.00.3408,Urupadi National Forest,2015-07-01,2019-02-04,2016-07-06
0000.00.3409,Aripuanã National Forest,2015-07-01,2019-02-04,2016-06-15
0000.00.3410,Acari National Park,2015-07-01,2019-02-04,2016-06-12
0000.00.3411,Manicoré Biological Reserve,2015-07-01,2019-02-04,2016-06-14
