codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0226,Reserva Extrativista da Mata Grande,2015-07-01,2019-02-25,2009-06-19
0000.00.0238,Reserva Extrativista do Rio Cautário,2015-07-01,2019-02-25,2009-06-19
0000.00.0241,Reserva Extrativista Ipaú-Anilzinho,2015-07-01,2019-02-25,2008-11-11
0000.00.0257,Reserva Extrativista Riozinho da Liberdade,2015-07-01,2019-02-25,2009-06-19
0000.00.0258,Reserva Extrativista Riozinho do Anfrísio,2015-07-01,2019-02-25,2009-06-19
0000.00.0268,Área de Proteção Ambiental da Ilha do Combu,2015-07-01,2019-02-25,2013-02-21
0000.00.0273,Reserva Extrativista Arioca Pruanã,2015-07-01,2019-02-25,2009-06-19
0000.00.0278,Refúgio de Vida Silvestre dos Campos de Palmas,2015-07-01,2019-02-25,2009-09-11
0000.00.0279,Reserva Extrativista de Cururupu,2015-07-01,2019-02-25,2009-06-19
0000.00.0280,Reserva Extrativista Rio Iriri,2015-07-01,2019-02-25,2009-06-19
0000.00.0281,Parque Nacional do Juruena,2015-07-01,2019-02-25,2010-01-25
0000.00.0283,Reserva Extrativista Rio Unini,2015-07-01,2019-02-25,2009-06-19
0000.00.0284,Parque Nacional dos Campos Amazônicos,2015-07-01,2019-02-25,2015-11-09
0000.00.0285,Reserva Extrativista Arapixi,2015-07-01,2019-02-25,2009-06-19
0000.00.0286,Reserva Extrativista do Recanto das Araras de Terra Ronca,2015-07-01,2019-02-25,2009-06-19
0000.00.0287,Reserva Extrativista Lago do Cedro,2015-07-01,2019-02-25,2009-06-19
0000.00.0288,Reserva Extrativista Gurupá-Melgaço,2015-07-01,2019-02-25,2009-06-19
0000.00.1518,Reserva Extrativista do Rio Cajari,2015-07-01,2019-02-25,2009-06-19
0000.00.1519,Reserva Extrativista do Ciriaco,2015-07-01,2019-02-25,2009-06-19
0000.00.1635,Reserva Extrativista Rio Xingu,2015-07-01,2019-02-25,2009-06-19
