cod_cnuc,mean,na_rows,total_days
0000.00.0188,1.6060836501901141,0,1315
0000.00.0189,2.91254752851711,0,1315
0000.00.0190,7.760456273764259,0,1315
0000.00.0191,3.227376425855513,0,1315
0000.00.0192,1.031616982836495,1,1108
0000.00.0193,1.6844106463878328,0,1315
0000.00.0194,0.8802880288028803,1,1112
0000.00.0195,2.711787072243346,0,1315
0000.00.0196,1.8386605783866057,1,1315
0000.00.0197,2.9244604316546763,0,1112
0000.00.0198,1.7506750675067506,0,1111
0000.00.0199,1.815217391304348,1,1105
0000.00.0200,3.5224334600760456,0,1315
0000.00.0201,2.379467680608365,0,1315
0000.00.0202,3.041825095057034,0,1315
0000.00.0204,1.1080669710806696,1,1315
0000.00.0205,0.8097412480974124,1,1315
0000.00.0207,2.5866425992779782,0,1108
0000.00.0208,1.1978691019786911,1,1315
0000.00.0209,0.9771515613099772,2,1315
0000.00.0210,0.8670886075949367,0,1106
0000.00.0211,0.9025875190258752,1,1315
0000.00.0212,14.680608365019012,0,1315
0000.00.0213,1.1728172817281728,0,1111
0000.00.0214,4.234220532319392,0,1315
0000.00.0215,7.84106463878327,0,1315
0000.00.0216,0.7813911472448057,1,1108
0000.00.0217,3.184931506849315,1,1315
0000.00.0220,0.5464231354642314,1,1315
0000.00.0223,0.4216133942161339,1,1315
0000.00.0227,0.4931506849315068,1,1315
0000.00.0228,0.2625570776255708,1,1315
0000.00.0230,1.6035007610350076,1,1315
0000.00.0231,1.6560121765601217,1,1315
0000.00.0232,1.1171102661596959,0,1315
0000.00.0233,1.2281368821292775,0,1315
0000.00.0234,1.1460076045627376,0,1315
0000.00.0235,0.5722983257229832,1,1315
0000.00.0239,0.38918507235338917,2,1315
0000.00.0240,0.989345509893455,1,1315
0000.00.0242,0.4680365296803653,1,1315
0000.00.0243,0.5795887281035796,2,1315
0000.00.0244,3.828006088280061,1,1315
0000.00.0245,0.9916349809885932,0,1315
0000.00.0246,1.7328767123287672,1,1315
0000.00.0247,1.322924600152323,2,1315
0000.00.0248,0.7351598173515982,1,1315
0000.00.0249,1.4010654490106544,1,1315
0000.00.0250,0.314828897338403,0,1315
0000.00.0251,1.9125475285171103,0,1315
0000.00.0252,1.2958174904942965,0,1315
0000.00.0253,0.7969581749049429,0,1315
0000.00.0254,0.7732115677321156,1,1315
0000.00.0255,3.463470319634703,1,1315
0000.00.0256,2.3424657534246576,1,1315
0000.00.0257,1.4182509505703422,0,1315
0000.00.0259,1.064638783269962,0,1315
0000.00.0260,1.6557501904036558,2,1315
0000.00.0261,4.118050266565118,2,1315
0000.00.0262,5.279087452471483,0,1315
0000.00.0264,1.228233305156382,0,1183
0000.00.0267,2.199324324324324,0,1184
0000.00.0270,0.5844594594594594,2,298
0000.00.0271,1.3082191780821917,1,1315
0000.00.0272,41.78326996197718,0,1315
0000.00.0274,0.5342465753424658,1,1315
0000.00.0275,5.257794676806084,0,1315
0000.00.0276,0.9955035971223022,0,1112
0000.00.0277,5.816730038022814,0,1315
0000.00.0282,1.7070015220700152,1,1315
0000.00.0284,2.2761824324324325,0,1184
0000.00.1517,1.4182509505703422,0,1315
0000.00.1521,4.248286367098248,2,1315
0000.00.1563,0.571972581873572,2,1315
0000.00.1564,0.9193302891933028,1,1315
0000.00.1606,0.6022813688212928,0,1315
0000.00.1626,0.9425190194420964,0,1183
0000.00.1628,1.3576864535768645,1,1315
0000.00.1633,1.9332206255283177,0,1183
0000.00.1808,1.5072243346007606,0,1315
0000.00.1809,1.0220532319391635,0,1315
0000.00.1812,7.716349809885932,0,1315
0000.00.1813,0.870722433460076,0,1315
0000.00.1880,0.8091254752851711,0,1315
0000.00.1908,2.4434121621621623,0,1184
0000.00.1909,1.8424657534246576,1,1315
0000.00.1910,4.409885931558935,0,1315
0000.00.1911,0.7815829528158296,1,1315
0000.00.1912,1.6062452399086062,2,1315
0000.00.2633,4.636501901140685,0,1315
0000.00.2634,0.6471647164716472,1,1112
0000.00.2874,3.500380228136882,0,1315
0000.00.3136,5.779374471682164,0,1183
0000.00.3137,2.3133445945945947,0,1184
